,date,indices,bandes,1,2,3,4,5,6,7,8
1,/,/,/,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI
2,/,/,/,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV
3,20200207,ND,ND_B2_B3,-0.17899235894170296,-0.1322072533663892,-0.11372412343742029,-0.08651084879080269,-0.10975458536670585,-0.1406892483039429,,
4,20200207,SR,SR_B2_B4,0.5718329998895729,0.605849603435272,0.665804791327088,0.7215539868171171,0.6336935805492467,0.6186928925991924,,
5,20200207,BSI,BSI_B2_B3_B4,-0.23634882358343193,-0.22126043450569305,-0.18320827355954475,-0.15015551264767615,-0.20488026526299064,-0.21006418574136176,,
6,20200207,mSR,mSR_B2_B3_B4,2.879805560066506,1.881622518369066,2.018459894159555,1.1113715588291566,1.7763004778921352,2.77238894114555,,
7,20200207,indclass,indclass_NDVI,0.5059836150285066,0.37208497113270506,0.3561892423577985,0.24655860406196242,0.34396614633585526,0.44901358693731824,,
8,20200207,indclass,indclass_NDI45,0.2167507906909372,0.13925186263096645,0.13550653319663977,0.08598379774840037,0.124832483250976,0.17698666506245764,,
9,20200204,ND,ND_B2_B3,,,,,-0.1251946305171409,-0.1462808600997295,,
10,20200204,SR,SR_B2_B4,,,,,0.6036627099768331,0.6040974957197529,,
11,20200204,BSI,BSI_B2_B3_B4,,,,,-0.22365152479017902,-0.2188947691212223,,
12,20200204,mSR,mSR_B2_B3_B4,,,,,1.7942869539189292,2.255503534478005,,
13,20200204,indclass,indclass_NDVI,,,,,0.36279105262232453,0.455068221080176,,
14,20200204,indclass,indclass_NDI45,,,,,0.14447801126670057,0.1820153887522458,,
